match_id,official_match_number,date,kickoff_utc,home_team,away_team,group,stage,venue,venue_country,venue_continent,status,actual_home_goals,actual_away_goals
M001,1,2026-06-11T13:00:00,2026-06-11T19:00:00,MEX,RSA,A,Group,Estadio Azteca,Mexico,North America,scheduled,,
M002,2,2026-06-11T20:00:00,2026-06-12T02:00:00,KOR,CZE,A,Group,Estadio Akron,Mexico,North America,scheduled,,
M003,3,2026-06-12T15:00:00,2026-06-12T19:00:00,CAN,BIH,B,Group,BMO Field,Canada,North America,scheduled,,
M004,8,2026-06-13T12:00:00,2026-06-13T19:00:00,QAT,SUI,B,Group,Levi's Stadium,United States,North America,scheduled,,
M005,7,2026-06-13T18:00:00,2026-06-13T22:00:00,BRA,MAR,C,Group,MetLife Stadium,United States,North America,scheduled,,
M006,5,2026-06-13T21:00:00,2026-06-14T01:00:00,HAI,SCO,C,Group,Gillette Stadium,United States,North America,scheduled,,
M007,4,2026-06-12T18:00:00,2026-06-13T01:00:00,USA,PAR,D,Group,SoFi Stadium,United States,North America,scheduled,,
M008,6,2026-06-13T21:00:00,2026-06-13T04:00:00,AUS,TUR,D,Group,BC Place,Canada,North America,scheduled,,
M009,9,2026-06-14T19:00:00,2026-06-14T23:00:00,CIV,ECU,E,Group,Lincoln Financial Field,United States,North America,scheduled,,
M010,10,2026-06-14T12:00:00,2026-06-14T17:00:00,GER,CUW,E,Group,NRG Stadium,United States,North America,scheduled,,
M011,11,2026-06-14T15:00:00,2026-06-14T20:00:00,NED,JPN,F,Group,AT&T Stadium,United States,North America,scheduled,,
M012,12,2026-06-14T20:00:00,2026-06-15T02:00:00,SWE,TUN,F,Group,Estadio BBVA,Mexico,North America,scheduled,,
M013,15,2026-06-15T18:00:00,2026-06-16T01:00:00,IRN,NZL,G,Group,SoFi Stadium,United States,North America,scheduled,,
M014,16,2026-06-15T12:00:00,2026-06-15T19:00:00,BEL,EGY,G,Group,Lumen Field,United States,North America,scheduled,,
M015,13,2026-06-15T18:00:00,2026-06-15T22:00:00,KSA,URU,H,Group,Hard Rock Stadium,United States,North America,scheduled,,
M016,14,2026-06-15T12:00:00,2026-06-15T16:00:00,ESP,CPV,H,Group,Mercedes-Benz Stadium,United States,North America,scheduled,,
M017,17,2026-06-16T15:00:00,2026-06-16T19:00:00,FRA,SEN,I,Group,MetLife Stadium,United States,North America,scheduled,,
M018,18,2026-06-16T18:00:00,2026-06-16T22:00:00,IRQ,NOR,I,Group,Gillette Stadium,United States,North America,scheduled,,
M019,19,2026-06-16T20:00:00,2026-06-17T01:00:00,ARG,ALG,J,Group,Arrowhead Stadium,United States,North America,scheduled,,
M020,20,2026-06-16T21:00:00,2026-06-16T04:00:00,AUT,JOR,J,Group,Levi's Stadium,United States,North America,scheduled,,
M021,23,2026-06-17T12:00:00,2026-06-17T17:00:00,POR,COD,K,Group,NRG Stadium,United States,North America,scheduled,,
M022,24,2026-06-17T20:00:00,2026-06-18T02:00:00,UZB,COL,K,Group,Estadio Azteca,Mexico,North America,scheduled,,
M023,21,2026-06-17T19:00:00,2026-06-17T23:00:00,GHA,PAN,L,Group,BMO Field,Canada,North America,scheduled,,
M024,22,2026-06-17T15:00:00,2026-06-17T20:00:00,ENG,CRO,L,Group,AT&T Stadium,United States,North America,scheduled,,
M025,25,2026-06-18T12:00:00,2026-06-18T16:00:00,CZE,RSA,A,Group,Mercedes-Benz Stadium,United States,North America,scheduled,,
M026,28,2026-06-18T19:00:00,2026-06-19T01:00:00,MEX,KOR,A,Group,Estadio Akron,Mexico,North America,scheduled,,
M027,26,2026-06-18T12:00:00,2026-06-18T19:00:00,SUI,BIH,B,Group,SoFi Stadium,United States,North America,scheduled,,
M028,27,2026-06-18T15:00:00,2026-06-18T22:00:00,CAN,QAT,B,Group,BC Place,Canada,North America,scheduled,,
M029,30,2026-06-19T18:00:00,2026-06-19T22:00:00,SCO,MAR,C,Group,Gillette Stadium,United States,North America,scheduled,,
M030,29,2026-06-19T20:30:00,2026-06-20T00:30:00,BRA,HAI,C,Group,Lincoln Financial Field,United States,North America,scheduled,,
