match_id,bookmaker,collected_at,home_odds,draw_odds,away_odds,source
M002,Swisslos,2026-06-11T22:02:28,2.6,3.0,3.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M003,Swisslos,2026-06-11T22:02:28,1.9,3.7,3.95,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M004,Swisslos,2026-06-11T22:02:28,14.0,6.8,1.2,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M005,Swisslos,2026-06-11T22:02:28,1.67,3.8,5.3,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M006,Swisslos,2026-06-11T22:02:28,6.0,4.2,1.55,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M007,Swisslos,2026-06-11T22:02:28,1.9,3.5,4.2,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M008,Swisslos,2026-06-11T22:02:28,5.3,3.8,1.67,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M009,Swisslos,2026-06-11T22:02:28,3.6,2.75,2.45,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M010,Swisslos,2026-06-11T22:02:28,1.04,15.0,27.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M011,Swisslos,2026-06-11T22:02:28,1.97,3.6,3.8,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M012,Swisslos,2026-06-11T22:02:28,1.87,3.5,4.4,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M013,Swisslos,2026-06-11T22:02:28,1.77,3.5,4.8,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M014,Swisslos,2026-06-11T22:02:28,1.6,4.0,5.7,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M015,Swisslos,2026-06-11T22:02:28,8.0,4.5,1.42,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M016,Swisslos,2026-06-11T22:02:28,1.07,14.0,22.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M017,Swisslos,2026-06-11T22:02:28,1.45,4.4,7.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M018,Swisslos,2026-06-11T22:02:28,14.0,7.0,1.18,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M019,Swisslos,2026-06-11T22:02:28,1.37,4.7,8.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M020,Swisslos,2026-06-11T22:02:28,1.28,5.7,9.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M021,Swisslos,2026-06-11T22:02:28,1.25,6.0,10.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M022,Swisslos,2026-06-11T22:02:28,9.5,4.7,1.35,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M023,Swisslos,2026-06-11T22:02:28,2.05,3.5,3.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M024,Swisslos,2026-06-11T22:02:28,1.67,3.9,4.9,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M025,Swisslos,2026-06-11T22:02:28,1.62,3.9,5.3,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M026,Swisslos,2026-06-11T22:02:28,1.83,3.5,4.4,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M027,Swisslos,2026-06-11T22:02:28,1.57,4.0,5.7,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M028,Swisslos,2026-06-11T22:02:28,1.28,5.5,10.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M029,Swisslos,2026-06-11T22:02:28,4.2,3.3,1.93,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M030,Swisslos,2026-06-11T22:02:28,1.05,15.0,25.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M031,Swisslos,2026-06-11T22:02:28,2.2,3.2,3.4,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M032,Swisslos,2026-06-11T22:02:28,1.72,3.9,4.5,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M033,Swisslos,2026-06-11T22:02:28,1.52,4.4,5.7,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M034,Swisslos,2026-06-11T22:02:28,1.17,7.8,13.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M035,Swisslos,2026-06-11T22:02:28,1.6,4.1,5.2,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M036,Swisslos,2026-06-11T22:02:28,5.5,3.6,1.67,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M037,Swisslos,2026-06-11T22:02:28,1.37,4.9,7.8,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M038,Swisslos,2026-06-11T22:02:28,4.8,3.7,1.72,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
M039,Swisslos,2026-06-11T22:02:28,1.37,4.8,8.0,https://www.swisslos.ch/de/sporttip/sportwetten/fussball/wm-2026
