official_match_number,schedule_date,time_et,home_team,away_team,group,host_city,source_url,published_at
1,2026-06-11,15:00,MEX,RSA,A,MEXICO CITY,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
2,2026-06-11,22:00,KOR,CZE,A,GUADALAJARA,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
3,2026-06-12,15:00,CAN,BIH,B,TORONTO,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
4,2026-06-12,21:00,USA,PAR,D,LOS ANGELES,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
5,2026-06-13,21:00,HAI,SCO,C,BOSTON,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
6,2026-06-13,00:00,AUS,TUR,D,VANCOUVER,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
7,2026-06-13,18:00,BRA,MAR,C,NEW YORK NEW JERSEY,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
8,2026-06-13,15:00,QAT,SUI,B,SAN FRANCISCO BAY AREA,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
9,2026-06-14,19:00,CIV,ECU,E,PHILADELPHIA,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
10,2026-06-14,13:00,GER,CUW,E,HOUSTON,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
11,2026-06-14,16:00,NED,JPN,F,DALLAS,https://digitalhub.fifa.com/m/1be9ce37eb98fcc5/original/FWC26-Match-Schedule_English.pdf,2026-04-10
