team_id,as_of,rating,fifa_rank,source,fifa_points
ALG,2025-11-19,1855.0,35,Hypothetical index from FIFA rank,
ARG,2025-11-19,2086.0,2,Hypothetical index from FIFA rank,
AUS,2025-11-19,1918.0,26,Hypothetical index from FIFA rank,
AUT,2025-11-19,1932.0,24,Hypothetical index from FIFA rank,
BEL,2025-11-19,2044.0,8,Hypothetical index from FIFA rank,
BIH,2025-11-19,1603.0,71,Hypothetical index from FIFA rank,
BRA,2025-11-19,2065.0,5,Hypothetical index from FIFA rank,
CAN,2025-11-19,1911.0,27,Hypothetical index from FIFA rank,
CIV,2025-11-19,1806.0,42,Hypothetical index from FIFA rank,
COD,2025-11-19,1708.0,56,Hypothetical index from FIFA rank,
COL,2025-11-19,2009.0,13,Hypothetical index from FIFA rank,
CPV,2025-11-19,1624.0,68,Hypothetical index from FIFA rank,
CRO,2025-11-19,2030.0,10,Hypothetical index from FIFA rank,
CUW,2025-11-19,1526.0,82,Hypothetical index from FIFA rank,
CZE,2025-11-19,1792.0,44,Hypothetical index from FIFA rank,
ECU,2025-11-19,1939.0,23,Hypothetical index from FIFA rank,
EGY,2025-11-19,1862.0,34,Hypothetical index from FIFA rank,
ENG,2025-11-19,2072.0,4,Hypothetical index from FIFA rank,
ESP,2025-11-19,2093.0,1,Hypothetical index from FIFA rank,
FRA,2025-11-19,2079.0,3,Hypothetical index from FIFA rank,
GER,2025-11-19,2037.0,9,Hypothetical index from FIFA rank,
GHA,2025-11-19,1596.0,72,Hypothetical index from FIFA rank,
HAI,2025-11-19,1512.0,84,Hypothetical index from FIFA rank,
IRN,2025-11-19,1960.0,20,Hypothetical index from FIFA rank,
IRQ,2025-11-19,1694.0,58,Hypothetical index from FIFA rank,
JOR,2025-11-19,1638.0,66,Hypothetical index from FIFA rank,
JPN,2025-11-19,1974.0,18,Hypothetical index from FIFA rank,
KOR,2025-11-19,1946.0,22,Hypothetical index from FIFA rank,
KSA,2025-11-19,1680.0,60,Hypothetical index from FIFA rank,
MAR,2025-11-19,2023.0,11,Hypothetical index from FIFA rank,
MEX,2025-11-19,1995.0,15,Hypothetical index from FIFA rank,
NED,2025-11-19,2051.0,7,Hypothetical index from FIFA rank,
NOR,2025-11-19,1897.0,29,Hypothetical index from FIFA rank,
NZL,2025-11-19,1498.0,86,Hypothetical index from FIFA rank,
PAN,2025-11-19,1890.0,30,Hypothetical index from FIFA rank,
PAR,2025-11-19,1827.0,39,Hypothetical index from FIFA rank,
POR,2025-11-19,2058.0,6,Hypothetical index from FIFA rank,
QAT,2025-11-19,1743.0,51,Hypothetical index from FIFA rank,
RSA,2025-11-19,1673.0,61,Hypothetical index from FIFA rank,
SCO,2025-11-19,1848.0,36,Hypothetical index from FIFA rank,
SEN,2025-11-19,1967.0,19,Hypothetical index from FIFA rank,
SUI,2025-11-19,1981.0,17,Hypothetical index from FIFA rank,
SWE,2025-11-19,1799.0,43,Hypothetical index from FIFA rank,
TUN,2025-11-19,1820.0,40,Hypothetical index from FIFA rank,
TUR,2025-11-19,1925.0,25,Hypothetical index from FIFA rank,
URU,2025-11-19,1988.0,16,Hypothetical index from FIFA rank,
USA,2025-11-19,2002.0,14,Hypothetical index from FIFA rank,
UZB,2025-11-19,1750.0,50,Hypothetical index from FIFA rank,
ALG,2026-04-01,1564.2567,28,Official FIFA/Coca-Cola Men's World Ranking,1564.2567
ARG,2026-04-01,1874.814835,3,Official FIFA/Coca-Cola Men's World Ranking,1874.814835
AUS,2026-04-01,1580.674774,27,Official FIFA/Coca-Cola Men's World Ranking,1580.674774
AUT,2026-04-01,1593.447673,24,Official FIFA/Coca-Cola Men's World Ranking,1593.447673
BEL,2026-04-01,1734.714832,9,Official FIFA/Coca-Cola Men's World Ranking,1734.714832
BIH,2026-04-01,1385.838723,65,Official FIFA/Coca-Cola Men's World Ranking,1385.838723
BRA,2026-04-01,1761.16093,6,Official FIFA/Coca-Cola Men's World Ranking,1761.16093
CAN,2026-04-01,1556.482247,30,Official FIFA/Coca-Cola Men's World Ranking,1556.482247
CIV,2026-04-01,1532.975251,34,Official FIFA/Coca-Cola Men's World Ranking,1532.975251
COD,2026-04-01,1478.350424,46,Official FIFA/Coca-Cola Men's World Ranking,1478.350424
COL,2026-04-01,1693.089319,13,Official FIFA/Coca-Cola Men's World Ranking,1693.089319
CPV,2026-04-01,1366.125478,69,Official FIFA/Coca-Cola Men's World Ranking,1366.125478
CRO,2026-04-01,1717.066402,11,Official FIFA/Coca-Cola Men's World Ranking,1717.066402
CUW,2026-04-01,1294.652918,82,Official FIFA/Coca-Cola Men's World Ranking,1294.652918
